Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:27z9Pnkr2gPRBuOy9TmCdC,"Big Science - Arca Remix","Big Science (Arca Remix)","Laurie Anderson;Arca",2022-01-19,613240,15,false,1225721008,2022-01-21T04:15:47Z,"art pop,avant-garde,art rock,spoken word,neoperreo,experimental,hyperpop","Nonesuch",0.556,0.55,10,-9.196,1,0.0518,0.657,0.925,0.0847,0.134,74.424,4
spotify:track:3mOxcfI8ZZwUY8YGGQjeMk,"From Pacifica Koral Reef","From Pacifica Koral Reef","Wadada Leo Smith;Henry Kaiser;Alex Varty",2021-12-17,288054,0,false,1225721008,2022-01-21T13:04:23Z,"free jazz,avant-garde,experimental jazz,jazz,plunderphonics,art rock","577 Records",0.341,0.0626,2,-11.963,1,0.0323,0.879,0.431,0.103,0.235,93.754,3
spotify:track:4B10jul76vZa4CxWtwgXg3,"The Wild Kindness (feat. Cassie Berman)","Blind Date Party","Bill Callahan;Bonnie Prince Billy",2021-12-10,212053,20,false,1225721008,2022-01-22T00:59:41Z,"alt country,indie folk,americana","Drag City Records",0.404,0.754,4,-4.554,0,0.0322,0.612,0.0000369,0.281,0.373,110.123,4
spotify:track:3sRH0O4igyGvw4E8yG9SyE,"The Night of Santiago (feat. David Grubbs)","Blind Date Party","Bill Callahan;Bonnie Prince Billy;David Grubbs",2021-12-10,256333,14,false,1225721008,2022-01-22T01:09:20Z,"alt country,indie folk,americana,post-rock,slowcore,electroacoustic,avant-garde,experimental,experimental jazz","Drag City Records",0.414,0.26,0,-10.401,1,0.0565,0.703,0.0000395,0.104,0.211,74.565,4
spotify:track:4MDbpgIJXQWZJGiJtY4aL3,"Rooftop Garden (feat. George Xylouris)","Blind Date Party","Bill Callahan;Bonnie Prince Billy;George Xylouris",2021-12-10,380973,13,false,1225721008,2022-01-22T01:30:52Z,"alt country,indie folk,americana","Drag City Records",0.399,0.705,7,-7.192,1,0.0339,0.0248,0.0355,0.342,0.481,123.453,4
spotify:track:7r7lKry2CvHc6wK6c1ZgtO,"Don't Forget You're Precious","Don't Forget You're Precious","Alabaster DePlume",2022-02-02,221106,0,false,1225721008,2022-02-03T03:31:59Z,"ambient jazz","International Anthem",0.502,0.477,5,-11.826,0,0.0368,0.717,0.531,0.188,0.386,95.047,4
spotify:track:6l8CLM7Feg94VFfO8d3KRX,"Bardo","Bardo","PremRock;billy woods",2022-01-07,275200,1,true,1225721008,2022-02-03T03:34:24Z,"experimental hip hop,underground hip hop,alternative hip hop,east coast hip hop,experimental","Backwoodz Studioz",0.368,0.548,6,-9.527,1,0.0896,0.0303,0.0046,0.425,0.373,76.013,4
spotify:track:0mw3nKb5zvmy3vfmOPqa7u,"Ask me how I sleep at night","For McCoy","Eiko Ishibashi",2022-01-21,316358,18,false,1225721008,2022-02-04T13:55:24Z,"","Black Truffle",0.586,0.406,11,-14.607,1,0.0332,0.263,0.9,0.107,0.264,99.725,4
spotify:track:0y5akbuW5mCnnUe71xATpe,"Concorde","Ants From Up There","Black Country, New Road",2022-02-04,363773,57,false,1225721008,2022-02-05T20:11:24Z,"art rock,post-rock","Ninja Tune",0.565,0.284,9,-11.881,1,0.0286,0.023,0.098,0.113,0.314,131.309,3
spotify:track:1yXwjJKdENIACBE2s80Lfl,"My Name is Nat Cmiel","Glitch Princess","yeule",2022-02-04,171269,22,true,1225721008,2022-02-15T15:02:45Z,"art pop","Bayonet Records",0.526,0.571,11,-11.698,1,0.524,0.519,0,0.309,0.415,133.101,5
