Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7FESjvA4c1H7qnPqC2CD8S,"Socialising","Mark William Lewis","mark william lewis",2025-09-12,185240,32,false,1210603825,2025-12-05T19:31:11Z,"","A24 Music",0.551,0.781,6,-6.669,1,0.0529,0.0739,0.0197,0.14,0.653,77.407,4
spotify:track:2Sx76wBXMZFVtjcQyuIcre,"Serena's Riff","Cara's Desk","Jadelain",2025-06-06,180000,4,false,1210603825,2025-12-05T19:31:11Z,"","Reckless Hope",0.654,0.352,6,-13.18,1,0.0402,0.509,0.515,0.0943,0.411,125.019,3
spotify:track:5kVCvLPiNKBmXY17Hf3BOk,"77mph","luna aux","AV Moves",2025-01-04,253119,4,false,1210603825,2025-12-05T19:31:11Z,"","Cinnamon Disc",0.667,0.749,7,-9.849,1,0.0688,0.348,0.823,0.392,0.658,121.005,4
spotify:track:5u5cIc7H2IVBOPGYTwvgDJ,"MOTHERJAM","R4","Helena Hauff;F#X;Black Sites",2025-06-27,535810,9,false,1210603825,2025-12-05T19:31:11Z,"acid house,acid techno,ebm,cold wave","Tresor Records",0.585,0.953,7,-6.968,1,0.0311,0.0426,0.9,0.114,0.217,92.798,4
spotify:track:1djA3jM4PEwMqLvUwkakpb,"Hold Me In A New Way","Hold Me In A New Way","Elaine Howley",2025-05-02,271250,35,false,1210603825,2025-12-05T19:31:11Z,"","Modern Love",0.394,0.275,6,-23.875,0,0.0528,0.67,0.936,0.11,0.135,116.321,4
spotify:track:3In0y9MAeIjVDHeEAAjcMf,"Dig It All Up Again","Dig It All Up Again","Gajek",2025-01-20,298000,0,false,1210603825,2025-12-05T19:31:11Z,"electroacoustic,idm,experimental","Stroom",0.197,0.395,10,-11.046,1,0.0361,0.707,0.0217,0.0963,0.253,101.285,4
spotify:track:4TFWbrqZ3DXkocoh6d2kNH,"Rain","Good Coding","great area",2025-05-30,148065,10,false,1210603825,2025-12-05T19:31:11Z,"","Relaxin Records",0.762,0.175,5,-16.128,0,0.0369,0.896,0.158,0.121,0.54,137.038,4
spotify:track:6NlGxmre5nA5z9R5tOclBE,"Where R U - Live Mix","Where R U","Spriitzz;Spray",2025-01-24,226298,14,false,1210603825,2025-12-05T19:31:11Z,"hard house,acid house","Method 808, distributed by gamma.",0.595,0.873,0,-10.373,0,0.0536,0.0284,0.789,0.369,0.32,103.976,4
spotify:track:5cICW30wJh0GNydrFw4v7d,"Garden","Garden","Maria Somerville",2025-02-19,243280,23,false,1210603825,2025-12-05T19:31:11Z,"dream pop","4AD",0.439,0.794,0,-8.315,1,0.0429,0.124,0.568,0.344,0.249,90.034,4
spotify:track:0esLnUDwFLjOuW39VBPjqT,"Hey Lover","Hey Lover","Semi Trucks",2025-02-13,162949,5,false,1210603825,2025-12-05T19:31:11Z,"jangle pop","Post Present Medium",0.305,0.489,2,-6.902,1,0.0354,0.0000905,0.757,0.294,0.58,109.051,4
spotify:track:49vFObSfzcWgziLCnqLCZS,"Code Your Name With Feelings","Debunker","Eterna",2025-01-31,186621,0,false,1210603825,2025-12-05T19:31:11Z,"","Mushroom Music",0.661,0.624,10,-6.887,0,0.0255,0.0297,0.346,0.074,0.311,140.011,4
spotify:track:6ol19uuhdHXhPLy49mlXxp,"Walking Emoji","Our Keyboards,","16:9 ratio;Her story",2025-03-28,157834,3,false,1210603825,2025-12-05T19:31:11Z,"","surf",0.212,0.6,8,-9.92,1,0.0899,0.709,0.491,0.218,0.137,74.768,3
spotify:track:1Ko7Itkinckv0BrWWJgmBQ,"Oganesson","Oganesson","Tortoise",2025-03-27,195752,15,false,1210603825,2025-12-05T19:31:11Z,"post-rock,math rock,krautrock,slowcore","International Anthem/Nonesuch",0.747,0.655,11,-10.22,0,0.0288,0.00548,0.716,0.0882,0.779,140.395,4
spotify:track:54AryAlNZZjE2Uy9sqMy9l,"An L.A. Funeral","Orcutt Shelley Miller","Orcutt Shelley Miller",2025-09-05,258000,19,false,1210603825,2025-12-05T19:31:11Z,"","Silver Current",0.451,0.453,4,-13.645,0,0.0396,0.0652,0.661,0.658,0.195,140.017,4
spotify:track:5tMtyZls9wrIvmuhYNySy5,"Quest","Without References / Cindy Van Acker","goat (JP)",2025-03-14,337549,12,false,1210603825,2025-12-05T19:31:11Z,"electroacoustic","Latency",0.649,0.872,1,-9.738,0,0.0579,0.0113,0.937,0.317,0.436,146.647,3
spotify:track:57s1KLi3i1UbdU0g7Bzd3Z,"Milk - My Ideal Is Windy","Ear World","Dorothy Carlos",2025-02-20,200000,5,false,1210603825,2025-12-05T19:31:11Z,"experimental,electroacoustic","29 Speedway",0.32,0.264,0,-11.161,1,0.0472,0.71,0.894,0.34,0.038,73.086,5
spotify:track:7ee080RYC16iycYfkO8O8C,"New Pinnacle","Gadabout Season","Brandee Younger",2025-06-13,289522,25,false,1210603825,2025-12-05T19:31:11Z,"experimental jazz,jazz","Impulse!",0.366,0.2,7,-21.071,0,0.0304,0.903,0.819,0.0956,0.353,136.305,4
spotify:track:3CuaggZ9WwAishSmKXS4BE,"Marry Me Maia","i was put on this earth","DJ Python",2025-03-28,255630,22,false,1210603825,2025-12-05T19:31:11Z,"dub techno,idm","XL Recordings",0.674,0.207,9,-18.924,1,0.0453,0.908,0.482,0.0816,0.247,125.97,4
spotify:track:4oSqVSbFFkdKGF69giOG7N,"Plains Of Paradise","Ways To The Deep Meadow","Ocean Moon",2025-01-31,259385,15,false,1210603825,2025-12-05T19:31:11Z,"ambient","Music From Memory",0.609,0.549,11,-14.935,1,0.0396,0.555,0.914,0.207,0.0511,124.972,4
spotify:track:0VOiWrkull3zNXS8zrsoE0,"Thinking Clean","Essex Honey","Blood Orange",2025-08-29,214758,54,false,1210603825,2025-12-05T19:31:11Z,"art pop","Domino Recording Co./RCA Records",0.392,0.495,11,-12.702,0,0.0485,0.24,0.0187,0.22,0.0699,124.632,4
spotify:track:2fUl350fVROzJc9PAgYka8,"Love Unrehearsed","Michelangelo Dying","Cate Le Bon",2025-09-26,254056,37,false,1210603825,2025-12-05T19:31:11Z,"art pop","Mexican Summer",0.66,0.459,7,-10.412,1,0.0263,0.803,0.642,0.0955,0.523,94.996,4
spotify:track:5wRIFF1qb0kVG3FUvO6ehl,"High Rise","Realm Of Symbols","D.K.",2025-10-17,353746,8,false,1210603825,2025-12-05T19:31:11Z,"","TRULE",0.545,0.812,11,-8.536,1,0.065,0.156,0.86,0.0934,0.64,113.336,3
spotify:track:7HvkAmUPqWKts09doBtSSg,"Running Back Into Myself","Hypnosis","Kiji Suedo;New Kyd",2025-02-12,277290,0,false,1210603825,2025-12-05T19:31:11Z,"","Farbwechsel Records",0.888,0.363,3,-17.153,0,0.113,0.811,0.875,0.106,0.437,125.476,4
spotify:track:7iz1RRvg8vpN5cQmVZPKDh,"Solbacken / Gör allt till inget","Himlens blad","VS--55;Varg²™",2025-09-15,234500,21,false,1210603825,2025-12-05T19:31:11Z,"black metal,experimental","Blodörn",0.581,0.259,2,-16.859,0,0.0321,0.594,0.774,0.121,0.0936,123.081,4
spotify:track:2NbNeXeXYmFhssxFarPpYb,"Bronco","Pure Hearts","Quiet Light",2025-01-31,178750,26,false,1210603825,2025-12-05T19:31:11Z,"","Quiet Light",0.228,0.182,9,-15.28,1,0.0366,0.928,0.781,0.094,0.0371,101.947,4
spotify:track:6LridfKbh41cLAqNq0dVWs,"think of you","Push","NEW YORK",2025-09-12,247055,7,false,1210603825,2025-12-05T19:31:11Z,"electroclash","nypop",0.609,0.528,11,-14.362,1,0.0422,0.0289,0.68,0.17,0.17,138.055,4
spotify:track:3efHWhY8UALb0OkUzrG3b0,"Mr.Cooke","Mr.Cooke","TR Gobrazy;.nathan.",2025-02-12,123398,38,true,1210603825,2025-12-05T19:31:11Z,"afroswing","Independent",0.438,0.592,2,-14.535,0,0.587,0.616,0.00552,0.0677,0.537,68.633,4
spotify:track:2W6Xyj96U9ujqDPgzNMKBM,"Don't Let This Feeling","café LIFE","Vanessa Amara",2025-01-24,172425,17,false,1210603825,2025-12-05T19:31:11Z,"experimental,ambient,drone,dark ambient,plunderphonics","Posh Isolation",0.561,0.647,8,-9.552,1,0.034,0.452,0.00353,0.0831,0.424,83.613,4
spotify:track:53IU9nS1Byc6EFM2JHNW2V,"Big Sky","Salt River","Sam Amidon",2025-01-24,239333,16,false,1210603825,2025-12-05T19:31:11Z,"indie folk","River Lea Recordings",0.559,0.28,11,-13.76,0,0.0263,0.533,0.000106,0.0684,0.39,103.677,4
spotify:track:2JhpvYDYt5RTQVJPQARNYa,"Marigold","Goodbyehouse","snuggle",2025-09-12,220384,39,false,1210603825,2025-12-05T19:31:11Z,"bedroom pop,alternative r&b","Escho",0.699,0.442,6,-8.692,1,0.0349,0.631,0.33,0.399,0.337,130.051,4
spotify:track:0KgOg2zKsvP82JJSsenp48,"Step","Affectionately","Raisa K",2025-03-07,116742,10,false,1210603825,2025-12-05T19:31:11Z,"experimental","15 love",0.321,0.821,10,-5.356,1,0.0904,0.668,0.00255,0.182,0.54,178.01,4
spotify:track:144zRE8qyYTs33zwsETHyW,"Win!","Goodness","feeo",2025-10-10,295122,24,false,1210603825,2025-12-05T19:31:11Z,"experimental","AD 93",0.35,0.0901,1,-23.37,1,0.0425,0.906,0.352,0.112,0.0383,137.091,5
spotify:track:4H6wIBx1i7ZfYdy170OkM6,"Out of Chorales: IV","Jürg Frey: Voices","Jürg Frey;Exaudi Vocal Ensemble;James Weeks",2025-03-28,135130,2,false,1210603825,2025-12-05T19:31:11Z,"musique concrète,electroacoustic,contemporary classical,avant-garde,minimalism,chamber music,choral,renaissance","Neu Records",0.157,0.0152,4,-29.298,1,0.0364,0.979,0.802,0.13,0.0288,132.673,3
